,group,variable,value
0, B16470,ARR-2,0
1, B16470,QnrB1,0
2, B16470,QnrB1-like,0
3, B16470,QnrB66-like,0
4, B16470,QnrS1,0
5, B16470,aac(3)-IIa-like,0
6, B16470,aac(6')-Ib-like,0
7, B16470,aac(6')Ib-cr,0
8, B16470,aac(6')Ib-cr-like,1
9, B16470,aacA4-like,1
10, B16470,aadA1,0
11, B16470,aadA2,0
12, B16470,aadA2-like,1
13, B16470,aph(3')-VIa-like,0
14, B16470,armA,0
15, B16470,armA-like,1
16, B16470,blaCTX-M-15,1
17, B16470,blaCTX-M-15-like,0
18, B16470,blaLEN12-like,0
19, B16470,blaNDM-1,0
20, B16470,blaNDM-7-like,0
21, B16470,blaOXA-1,1
22, B16470,blaOXA-232,0
23, B16470,blaOXA-232-like,1
24, B16470,blaOXA-9-like,0
25, B16470,blaSHV-1-like,0
26, B16470,blaSHV-11,0
27, B16470,blaSHV-11-like,0
28, B16470,blaSHV-28,1
29, B16470,blaSHV-28-like,0
30, B16470,blaTEM-1B,0
31, B16470,catA1-like,0
32, B16470,catB3-like,1
33, B16470,dfrA1,1
34, B16470,dfrA12,1
35, B16470,dfrA14-like,1
36, B16470,erm(B)-like,1
37, B16470,fosA-like,1
38, B16470,mph(A)-like,1
39, B16470,mph(E),0
40, B16470,mph(E)-like,1
41, B16470,msr(E),1
42, B16470,oqxA-like,1
43, B16470,oqxB-like,1
44, B16470,rmtf,0
45, B16470,rmtf-like,0
46, B16470,strA,0
47, B16470,strB,0
48, B16470,sul1,1
49, B16470,sul1-like,0
50, B16470,sul2,0
51, B16470,tet(D),1
52, CMC_VB34444,ARR-2,0
53, CMC_VB34444,QnrB1,0
54, CMC_VB34444,QnrB1-like,0
55, CMC_VB34444,QnrB66-like,0
56, CMC_VB34444,QnrS1,0
57, CMC_VB34444,aac(3)-IIa-like,0
58, CMC_VB34444,aac(6')-Ib-like,1
59, CMC_VB34444,aac(6')Ib-cr,0
60, CMC_VB34444,aac(6')Ib-cr-like,1
61, CMC_VB34444,aacA4-like,0
62, CMC_VB34444,aadA1,0
63, CMC_VB34444,aadA2,1
64, CMC_VB34444,aadA2-like,0
65, CMC_VB34444,aph(3')-VIa-like,1
66, CMC_VB34444,armA,1
67, CMC_VB34444,armA-like,0
68, CMC_VB34444,blaCTX-M-15,1
69, CMC_VB34444,blaCTX-M-15-like,0
70, CMC_VB34444,blaLEN12-like,0
71, CMC_VB34444,blaNDM-1,1
72, CMC_VB34444,blaNDM-7-like,0
73, CMC_VB34444,blaOXA-1,1
74, CMC_VB34444,blaOXA-232,1
75, CMC_VB34444,blaOXA-232-like,0
76, CMC_VB34444,blaOXA-9-like,0
77, CMC_VB34444,blaSHV-1-like,0
78, CMC_VB34444,blaSHV-11,0
79, CMC_VB34444,blaSHV-11-like,0
80, CMC_VB34444,blaSHV-28,1
81, CMC_VB34444,blaSHV-28-like,0
82, CMC_VB34444,blaTEM-1B,0
83, CMC_VB34444,catA1-like,1
84, CMC_VB34444,catB3-like,1
85, CMC_VB34444,dfrA1,1
86, CMC_VB34444,dfrA12,1
87, CMC_VB34444,dfrA14-like,1
88, CMC_VB34444,erm(B)-like,0
89, CMC_VB34444,fosA-like,1
90, CMC_VB34444,mph(A)-like,0
91, CMC_VB34444,mph(E),0
92, CMC_VB34444,mph(E)-like,1
93, CMC_VB34444,msr(E),1
94, CMC_VB34444,oqxA-like,1
95, CMC_VB34444,oqxB-like,1
96, CMC_VB34444,rmtf,0
97, CMC_VB34444,rmtf-like,0
98, CMC_VB34444,strA,0
99, CMC_VB34444,strB,0
100, CMC_VB34444,sul1,1
101, CMC_VB34444,sul1-like,0
102, CMC_VB34444,sul2,0
103, CMC_VB34444,tet(D),1
104, JNM8C2,ARR-2,0
105, JNM8C2,QnrB1,0
106, JNM8C2,QnrB1-like,0
107, JNM8C2,QnrB66-like,1
108, JNM8C2,QnrS1,0
109, JNM8C2,aac(3)-IIa-like,1
110, JNM8C2,aac(6')-Ib-like,0
111, JNM8C2,aac(6')Ib-cr,1
112, JNM8C2,aac(6')Ib-cr-like,0
113, JNM8C2,aacA4-like,0
114, JNM8C2,aadA1,0
115, JNM8C2,aadA2,1
116, JNM8C2,aadA2-like,0
117, JNM8C2,aph(3')-VIa-like,0
118, JNM8C2,armA,1
119, JNM8C2,armA-like,0
120, JNM8C2,blaCTX-M-15,1
121, JNM8C2,blaCTX-M-15-like,0
122, JNM8C2,blaLEN12-like,0
123, JNM8C2,blaNDM-1,1
124, JNM8C2,blaNDM-7-like,0
125, JNM8C2,blaOXA-1,1
126, JNM8C2,blaOXA-232,0
127, JNM8C2,blaOXA-232-like,0
128, JNM8C2,blaOXA-9-like,0
129, JNM8C2,blaSHV-1-like,0
130, JNM8C2,blaSHV-11,1
131, JNM8C2,blaSHV-11-like,0
132, JNM8C2,blaSHV-28,0
133, JNM8C2,blaSHV-28-like,0
134, JNM8C2,blaTEM-1B,0
135, JNM8C2,catA1-like,0
136, JNM8C2,catB3-like,1
137, JNM8C2,dfrA1,0
138, JNM8C2,dfrA12,1
139, JNM8C2,dfrA14-like,0
140, JNM8C2,erm(B)-like,0
141, JNM8C2,fosA-like,1
142, JNM8C2,mph(A)-like,0
143, JNM8C2,mph(E),1
144, JNM8C2,mph(E)-like,0
145, JNM8C2,msr(E),1
146, JNM8C2,oqxA-like,1
147, JNM8C2,oqxB-like,1
148, JNM8C2,rmtf,0
149, JNM8C2,rmtf-like,0
150, JNM8C2,strA,0
151, JNM8C2,strB,0
152, JNM8C2,sul1,1
153, JNM8C2,sul1-like,0
154, JNM8C2,sul2,0
155, JNM8C2,tet(D),0
156, K219,ARR-2,0
157, K219,QnrB1,0
158, K219,QnrB1-like,0
159, K219,QnrB66-like,0
160, K219,QnrS1,0
161, K219,aac(3)-IIa-like,0
162, K219,aac(6')-Ib-like,0
163, K219,aac(6')Ib-cr,0
164, K219,aac(6')Ib-cr-like,0
165, K219,aacA4-like,0
166, K219,aadA1,0
167, K219,aadA2,0
168, K219,aadA2-like,0
169, K219,aph(3')-VIa-like,0
170, K219,armA,0
171, K219,armA-like,0
172, K219,blaCTX-M-15,0
173, K219,blaCTX-M-15-like,0
174, K219,blaLEN12-like,0
175, K219,blaNDM-1,0
176, K219,blaNDM-7-like,1
177, K219,blaOXA-1,0
178, K219,blaOXA-232,0
179, K219,blaOXA-232-like,0
180, K219,blaOXA-9-like,0
181, K219,blaSHV-1-like,0
182, K219,blaSHV-11,0
183, K219,blaSHV-11-like,0
184, K219,blaSHV-28,0
185, K219,blaSHV-28-like,0
186, K219,blaTEM-1B,0
187, K219,catA1-like,0
188, K219,catB3-like,0
189, K219,dfrA1,0
190, K219,dfrA12,0
191, K219,dfrA14-like,0
192, K219,erm(B)-like,0
193, K219,fosA-like,1
194, K219,mph(A)-like,0
195, K219,mph(E),0
196, K219,mph(E)-like,0
197, K219,msr(E),0
198, K219,oqxA-like,0
199, K219,oqxB-like,0
200, K219,rmtf,0
201, K219,rmtf-like,0
202, K219,strA,0
203, K219,strB,0
204, K219,sul1,0
205, K219,sul1-like,0
206, K219,sul2,0
207, K219,tet(D),0
208, PM138,ARR-2,1
209, PM138,QnrB1,0
210, PM138,QnrB1-like,1
211, PM138,QnrB66-like,0
212, PM138,QnrS1,0
213, PM138,aac(3)-IIa-like,0
214, PM138,aac(6')-Ib-like,0
215, PM138,aac(6')Ib-cr,0
216, PM138,aac(6')Ib-cr-like,1
217, PM138,aacA4-like,1
218, PM138,aadA1,0
219, PM138,aadA2,0
220, PM138,aadA2-like,0
221, PM138,aph(3')-VIa-like,0
222, PM138,armA,0
223, PM138,armA-like,0
224, PM138,blaCTX-M-15,0
225, PM138,blaCTX-M-15-like,1
226, PM138,blaLEN12-like,0
227, PM138,blaNDM-1,0
228, PM138,blaNDM-7-like,0
229, PM138,blaOXA-1,0
230, PM138,blaOXA-232,1
231, PM138,blaOXA-232-like,0
232, PM138,blaOXA-9-like,0
233, PM138,blaSHV-1-like,0
234, PM138,blaSHV-11,0
235, PM138,blaSHV-11-like,1
236, PM138,blaSHV-28,0
237, PM138,blaSHV-28-like,0
238, PM138,blaTEM-1B,1
239, PM138,catA1-like,0
240, PM138,catB3-like,0
241, PM138,dfrA1,0
242, PM138,dfrA12,0
243, PM138,dfrA14-like,0
244, PM138,erm(B)-like,0
245, PM138,fosA-like,1
246, PM138,mph(A)-like,0
247, PM138,mph(E),0
248, PM138,mph(E)-like,0
249, PM138,msr(E),0
250, PM138,oqxA-like,0
251, PM138,oqxB-like,0
252, PM138,rmtf,0
253, PM138,rmtf-like,1
254, PM138,strA,1
255, PM138,strB,1
256, PM138,sul1,0
257, PM138,sul1-like,0
258, PM138,sul2,1
259, PM138,tet(D),0
260, PM1842,ARR-2,1
261, PM1842,QnrB1,1
262, PM1842,QnrB1-like,0
263, PM1842,QnrB66-like,0
264, PM1842,QnrS1,0
265, PM1842,aac(3)-IIa-like,0
266, PM1842,aac(6')-Ib-like,0
267, PM1842,aac(6')Ib-cr,0
268, PM1842,aac(6')Ib-cr-like,1
269, PM1842,aacA4-like,1
270, PM1842,aadA1,0
271, PM1842,aadA2,0
272, PM1842,aadA2-like,0
273, PM1842,aph(3')-VIa-like,0
274, PM1842,armA,0
275, PM1842,armA-like,0
276, PM1842,blaCTX-M-15,1
277, PM1842,blaCTX-M-15-like,0
278, PM1842,blaLEN12-like,0
279, PM1842,blaNDM-1,0
280, PM1842,blaNDM-7-like,0
281, PM1842,blaOXA-1,0
282, PM1842,blaOXA-232,1
283, PM1842,blaOXA-232-like,0
284, PM1842,blaOXA-9-like,0
285, PM1842,blaSHV-1-like,0
286, PM1842,blaSHV-11,1
287, PM1842,blaSHV-11-like,0
288, PM1842,blaSHV-28,0
289, PM1842,blaSHV-28-like,0
290, PM1842,blaTEM-1B,1
291, PM1842,catA1-like,0
292, PM1842,catB3-like,0
293, PM1842,dfrA1,0
294, PM1842,dfrA12,0
295, PM1842,dfrA14-like,0
296, PM1842,erm(B)-like,0
297, PM1842,fosA-like,1
298, PM1842,mph(A)-like,0
299, PM1842,mph(E),0
300, PM1842,mph(E)-like,0
301, PM1842,msr(E),0
302, PM1842,oqxA-like,0
303, PM1842,oqxB-like,0
304, PM1842,rmtf,1
305, PM1842,rmtf-like,0
306, PM1842,strA,1
307, PM1842,strB,1
308, PM1842,sul1,0
309, PM1842,sul1-like,0
310, PM1842,sul2,1
311, PM1842,tet(D),0
312, PM1995,ARR-2,1
313, PM1995,QnrB1,1
314, PM1995,QnrB1-like,0
315, PM1995,QnrB66-like,0
316, PM1995,QnrS1,0
317, PM1995,aac(3)-IIa-like,0
318, PM1995,aac(6')-Ib-like,0
319, PM1995,aac(6')Ib-cr,0
320, PM1995,aac(6')Ib-cr-like,1
321, PM1995,aacA4-like,1
322, PM1995,aadA1,0
323, PM1995,aadA2,0
324, PM1995,aadA2-like,0
325, PM1995,aph(3')-VIa-like,0
326, PM1995,armA,0
327, PM1995,armA-like,0
328, PM1995,blaCTX-M-15,1
329, PM1995,blaCTX-M-15-like,0
330, PM1995,blaLEN12-like,1
331, PM1995,blaNDM-1,0
332, PM1995,blaNDM-7-like,0
333, PM1995,blaOXA-1,0
334, PM1995,blaOXA-232,0
335, PM1995,blaOXA-232-like,0
336, PM1995,blaOXA-9-like,0
337, PM1995,blaSHV-1-like,0
338, PM1995,blaSHV-11,0
339, PM1995,blaSHV-11-like,0
340, PM1995,blaSHV-28,0
341, PM1995,blaSHV-28-like,0
342, PM1995,blaTEM-1B,1
343, PM1995,catA1-like,0
344, PM1995,catB3-like,0
345, PM1995,dfrA1,0
346, PM1995,dfrA12,0
347, PM1995,dfrA14-like,0
348, PM1995,erm(B)-like,0
349, PM1995,fosA-like,1
350, PM1995,mph(A)-like,0
351, PM1995,mph(E),0
352, PM1995,mph(E)-like,0
353, PM1995,msr(E),0
354, PM1995,oqxA-like,0
355, PM1995,oqxB-like,0
356, PM1995,rmtf,0
357, PM1995,rmtf-like,1
358, PM1995,strA,1
359, PM1995,strB,1
360, PM1995,sul1,0
361, PM1995,sul1-like,0
362, PM1995,sul2,1
363, PM1995,tet(D),0
364, PM5186,ARR-2,1
365, PM5186,QnrB1,0
366, PM5186,QnrB1-like,0
367, PM5186,QnrB66-like,0
368, PM5186,QnrS1,0
369, PM5186,aac(3)-IIa-like,0
370, PM5186,aac(6')-Ib-like,0
371, PM5186,aac(6')Ib-cr,0
372, PM5186,aac(6')Ib-cr-like,1
373, PM5186,aacA4-like,1
374, PM5186,aadA1,0
375, PM5186,aadA2,1
376, PM5186,aadA2-like,0
377, PM5186,aph(3')-VIa-like,0
378, PM5186,armA,0
379, PM5186,armA-like,0
380, PM5186,blaCTX-M-15,0
381, PM5186,blaCTX-M-15-like,1
382, PM5186,blaLEN12-like,0
383, PM5186,blaNDM-1,0
384, PM5186,blaNDM-7-like,0
385, PM5186,blaOXA-1,0
386, PM5186,blaOXA-232,0
387, PM5186,blaOXA-232-like,0
388, PM5186,blaOXA-9-like,0
389, PM5186,blaSHV-1-like,1
390, PM5186,blaSHV-11,0
391, PM5186,blaSHV-11-like,0
392, PM5186,blaSHV-28,0
393, PM5186,blaSHV-28-like,0
394, PM5186,blaTEM-1B,1
395, PM5186,catA1-like,1
396, PM5186,catB3-like,0
397, PM5186,dfrA1,0
398, PM5186,dfrA12,1
399, PM5186,dfrA14-like,0
400, PM5186,erm(B)-like,1
401, PM5186,fosA-like,1
402, PM5186,mph(A)-like,1
403, PM5186,mph(E),0
404, PM5186,mph(E)-like,0
405, PM5186,msr(E),0
406, PM5186,oqxA-like,1
407, PM5186,oqxB-like,1
408, PM5186,rmtf,0
409, PM5186,rmtf-like,1
410, PM5186,strA,0
411, PM5186,strB,0
412, PM5186,sul1,0
413, PM5186,sul1-like,1
414, PM5186,sul2,0
415, PM5186,tet(D),0
416, PM565,ARR-2,1
417, PM565,QnrB1,0
418, PM565,QnrB1-like,1
419, PM565,QnrB66-like,0
420, PM565,QnrS1,0
421, PM565,aac(3)-IIa-like,0
422, PM565,aac(6')-Ib-like,0
423, PM565,aac(6')Ib-cr,0
424, PM565,aac(6')Ib-cr-like,1
425, PM565,aacA4-like,1
426, PM565,aadA1,0
427, PM565,aadA2,0
428, PM565,aadA2-like,0
429, PM565,aph(3')-VIa-like,0
430, PM565,armA,0
431, PM565,armA-like,0
432, PM565,blaCTX-M-15,1
433, PM565,blaCTX-M-15-like,0
434, PM565,blaLEN12-like,0
435, PM565,blaNDM-1,0
436, PM565,blaNDM-7-like,0
437, PM565,blaOXA-1,0
438, PM565,blaOXA-232,1
439, PM565,blaOXA-232-like,0
440, PM565,blaOXA-9-like,0
441, PM565,blaSHV-1-like,0
442, PM565,blaSHV-11,1
443, PM565,blaSHV-11-like,0
444, PM565,blaSHV-28,0
445, PM565,blaSHV-28-like,0
446, PM565,blaTEM-1B,1
447, PM565,catA1-like,0
448, PM565,catB3-like,0
449, PM565,dfrA1,0
450, PM565,dfrA12,0
451, PM565,dfrA14-like,0
452, PM565,erm(B)-like,0
453, PM565,fosA-like,1
454, PM565,mph(A)-like,0
455, PM565,mph(E),0
456, PM565,mph(E)-like,0
457, PM565,msr(E),0
458, PM565,oqxA-like,0
459, PM565,oqxB-like,0
460, PM565,rmtf,1
461, PM565,rmtf-like,0
462, PM565,strA,1
463, PM565,strB,1
464, PM565,sul1,0
465, PM565,sul1-like,0
466, PM565,sul2,1
467, PM565,tet(D),0
468, PM716,ARR-2,0
469, PM716,QnrB1,0
470, PM716,QnrB1-like,0
471, PM716,QnrB66-like,0
472, PM716,QnrS1,1
473, PM716,aac(3)-IIa-like,0
474, PM716,aac(6')-Ib-like,0
475, PM716,aac(6')Ib-cr,0
476, PM716,aac(6')Ib-cr-like,1
477, PM716,aacA4-like,1
478, PM716,aadA1,1
479, PM716,aadA2,1
480, PM716,aadA2-like,0
481, PM716,aph(3')-VIa-like,1
482, PM716,armA,1
483, PM716,armA-like,0
484, PM716,blaCTX-M-15,1
485, PM716,blaCTX-M-15-like,0
486, PM716,blaLEN12-like,0
487, PM716,blaNDM-1,1
488, PM716,blaNDM-7-like,0
489, PM716,blaOXA-1,1
490, PM716,blaOXA-232,1
491, PM716,blaOXA-232-like,0
492, PM716,blaOXA-9-like,1
493, PM716,blaSHV-1-like,0
494, PM716,blaSHV-11,0
495, PM716,blaSHV-11-like,0
496, PM716,blaSHV-28,0
497, PM716,blaSHV-28-like,1
498, PM716,blaTEM-1B,0
499, PM716,catA1-like,0
500, PM716,catB3-like,1
501, PM716,dfrA1,1
502, PM716,dfrA12,1
503, PM716,dfrA14-like,0
504, PM716,erm(B)-like,0
505, PM716,fosA-like,1
506, PM716,mph(A)-like,0
507, PM716,mph(E),0
508, PM716,mph(E)-like,1
509, PM716,msr(E),1
510, PM716,oqxA-like,1
511, PM716,oqxB-like,1
512, PM716,rmtf,0
513, PM716,rmtf-like,0
514, PM716,strA,0
515, PM716,strB,0
516, PM716,sul1,1
517, PM716,sul1-like,0
518, PM716,sul2,0
519, PM716,tet(D),0
