group,variable,value
B16470,ARR-2,0
B16470,QnrB1,0
B16470,QnrB1-like,0
B16470,QnrB66-like,0
B16470,QnrS1,0
B16470,aac(3)-IIa-like,0
B16470,aac(6')-Ib-like,0
B16470,aac(6')Ib-cr,0
B16470,aac(6')Ib-cr-like,1
B16470,aacA4-like,1
B16470,aadA1,0
B16470,aadA2,0
B16470,aadA2-like,1
B16470,aph(3')-VIa-like,0
B16470,armA,0
B16470,armA-like,1
B16470,blaCTX-M-15,1
B16470,blaCTX-M-15-like,0
B16470,blaLEN12-like,0
B16470,blaNDM-1,0
B16470,blaNDM-7-like,0
B16470,blaOXA-1,1
B16470,blaOXA-232,0
B16470,blaOXA-232-like,1
B16470,blaOXA-9-like,0
B16470,blaSHV-1-like,0
B16470,blaSHV-11,0
B16470,blaSHV-11-like,0
B16470,blaSHV-28,1
B16470,blaSHV-28-like,0
B16470,blaTEM-1B,0
B16470,catA1-like,0
B16470,catB3-like,1
B16470,dfrA1,1
B16470,dfrA12,1
B16470,dfrA14-like,1
B16470,erm(B)-like,1
B16470,fosA-like,1
B16470,mph(A)-like,1
B16470,mph(E),0
B16470,mph(E)-like,1
B16470,msr(E),1
B16470,oqxA-like,1
B16470,oqxB-like,1
B16470,rmtf,0
B16470,rmtf-like,0
B16470,strA,0
B16470,strB,0
B16470,sul1,1
B16470,sul1-like,0
B16470,sul2,0
B16470,tet(D),1
CMC_VB34444,ARR-2,0
CMC_VB34444,QnrB1,0
CMC_VB34444,QnrB1-like,0
CMC_VB34444,QnrB66-like,0
CMC_VB34444,QnrS1,0
CMC_VB34444,aac(3)-IIa-like,0
CMC_VB34444,aac(6')-Ib-like,1
CMC_VB34444,aac(6')Ib-cr,0
CMC_VB34444,aac(6')Ib-cr-like,1
CMC_VB34444,aacA4-like,0
CMC_VB34444,aadA1,0
CMC_VB34444,aadA2,1
CMC_VB34444,aadA2-like,0
CMC_VB34444,aph(3')-VIa-like,1
CMC_VB34444,armA,1
CMC_VB34444,armA-like,0
CMC_VB34444,blaCTX-M-15,1
CMC_VB34444,blaCTX-M-15-like,0
CMC_VB34444,blaLEN12-like,0
CMC_VB34444,blaNDM-1,1
CMC_VB34444,blaNDM-7-like,0
CMC_VB34444,blaOXA-1,1
CMC_VB34444,blaOXA-232,1
CMC_VB34444,blaOXA-232-like,0
CMC_VB34444,blaOXA-9-like,0
CMC_VB34444,blaSHV-1-like,0
CMC_VB34444,blaSHV-11,0
CMC_VB34444,blaSHV-11-like,0
CMC_VB34444,blaSHV-28,1
CMC_VB34444,blaSHV-28-like,0
CMC_VB34444,blaTEM-1B,0
CMC_VB34444,catA1-like,1
CMC_VB34444,catB3-like,1
CMC_VB34444,dfrA1,1
CMC_VB34444,dfrA12,1
CMC_VB34444,dfrA14-like,1
CMC_VB34444,erm(B)-like,0
CMC_VB34444,fosA-like,1
CMC_VB34444,mph(A)-like,0
CMC_VB34444,mph(E),0
CMC_VB34444,mph(E)-like,1
CMC_VB34444,msr(E),1
CMC_VB34444,oqxA-like,1
CMC_VB34444,oqxB-like,1
CMC_VB34444,rmtf,0
CMC_VB34444,rmtf-like,0
CMC_VB34444,strA,0
CMC_VB34444,strB,0
CMC_VB34444,sul1,1
CMC_VB34444,sul1-like,0
CMC_VB34444,sul2,0
CMC_VB34444,tet(D),1
JNM8C2,ARR-2,0
JNM8C2,QnrB1,0
JNM8C2,QnrB1-like,0
JNM8C2,QnrB66-like,1
JNM8C2,QnrS1,0
JNM8C2,aac(3)-IIa-like,1
JNM8C2,aac(6')-Ib-like,0
JNM8C2,aac(6')Ib-cr,1
JNM8C2,aac(6')Ib-cr-like,0
JNM8C2,aacA4-like,0
JNM8C2,aadA1,0
JNM8C2,aadA2,1
JNM8C2,aadA2-like,0
JNM8C2,aph(3')-VIa-like,0
JNM8C2,armA,1
JNM8C2,armA-like,0
JNM8C2,blaCTX-M-15,1
JNM8C2,blaCTX-M-15-like,0
JNM8C2,blaLEN12-like,0
JNM8C2,blaNDM-1,1
JNM8C2,blaNDM-7-like,0
JNM8C2,blaOXA-1,1
JNM8C2,blaOXA-232,0
JNM8C2,blaOXA-232-like,0
JNM8C2,blaOXA-9-like,0
JNM8C2,blaSHV-1-like,0
JNM8C2,blaSHV-11,1
JNM8C2,blaSHV-11-like,0
JNM8C2,blaSHV-28,0
JNM8C2,blaSHV-28-like,0
JNM8C2,blaTEM-1B,0
JNM8C2,catA1-like,0
JNM8C2,catB3-like,1
JNM8C2,dfrA1,0
JNM8C2,dfrA12,1
JNM8C2,dfrA14-like,0
JNM8C2,erm(B)-like,0
JNM8C2,fosA-like,1
JNM8C2,mph(A)-like,0
JNM8C2,mph(E),1
JNM8C2,mph(E)-like,0
JNM8C2,msr(E),1
JNM8C2,oqxA-like,1
JNM8C2,oqxB-like,1
JNM8C2,rmtf,0
JNM8C2,rmtf-like,0
JNM8C2,strA,0
JNM8C2,strB,0
JNM8C2,sul1,1
JNM8C2,sul1-like,0
JNM8C2,sul2,0
JNM8C2,tet(D),0
K219,ARR-2,0
K219,QnrB1,0
K219,QnrB1-like,0
K219,QnrB66-like,0
K219,QnrS1,0
K219,aac(3)-IIa-like,0
K219,aac(6')-Ib-like,0
K219,aac(6')Ib-cr,0
K219,aac(6')Ib-cr-like,0
K219,aacA4-like,0
K219,aadA1,0
K219,aadA2,0
K219,aadA2-like,0
K219,aph(3')-VIa-like,0
K219,armA,0
K219,armA-like,0
K219,blaCTX-M-15,0
K219,blaCTX-M-15-like,0
K219,blaLEN12-like,0
K219,blaNDM-1,0
K219,blaNDM-7-like,1
K219,blaOXA-1,0
K219,blaOXA-232,0
K219,blaOXA-232-like,0
K219,blaOXA-9-like,0
K219,blaSHV-1-like,0
K219,blaSHV-11,0
K219,blaSHV-11-like,0
K219,blaSHV-28,0
K219,blaSHV-28-like,0
K219,blaTEM-1B,0
K219,catA1-like,0
K219,catB3-like,0
K219,dfrA1,0
K219,dfrA12,0
K219,dfrA14-like,0
K219,erm(B)-like,0
K219,fosA-like,1
K219,mph(A)-like,0
K219,mph(E),0
K219,mph(E)-like,0
K219,msr(E),0
K219,oqxA-like,0
K219,oqxB-like,0
K219,rmtf,0
K219,rmtf-like,0
K219,strA,0
K219,strB,0
K219,sul1,0
K219,sul1-like,0
K219,sul2,0
K219,tet(D),0
PM138,ARR-2,1
PM138,QnrB1,0
PM138,QnrB1-like,1
PM138,QnrB66-like,0
PM138,QnrS1,0
PM138,aac(3)-IIa-like,0
PM138,aac(6')-Ib-like,0
PM138,aac(6')Ib-cr,0
PM138,aac(6')Ib-cr-like,1
PM138,aacA4-like,1
PM138,aadA1,0
PM138,aadA2,0
PM138,aadA2-like,0
PM138,aph(3')-VIa-like,0
PM138,armA,0
PM138,armA-like,0
PM138,blaCTX-M-15,0
PM138,blaCTX-M-15-like,1
PM138,blaLEN12-like,0
PM138,blaNDM-1,0
PM138,blaNDM-7-like,0
PM138,blaOXA-1,0
PM138,blaOXA-232,1
PM138,blaOXA-232-like,0
PM138,blaOXA-9-like,0
PM138,blaSHV-1-like,0
PM138,blaSHV-11,0
PM138,blaSHV-11-like,1
PM138,blaSHV-28,0
PM138,blaSHV-28-like,0
PM138,blaTEM-1B,1
PM138,catA1-like,0
PM138,catB3-like,0
PM138,dfrA1,0
PM138,dfrA12,0
PM138,dfrA14-like,0
PM138,erm(B)-like,0
PM138,fosA-like,1
PM138,mph(A)-like,0
PM138,mph(E),0
PM138,mph(E)-like,0
PM138,msr(E),0
PM138,oqxA-like,0
PM138,oqxB-like,0
PM138,rmtf,0
PM138,rmtf-like,1
PM138,strA,1
PM138,strB,1
PM138,sul1,0
PM138,sul1-like,0
PM138,sul2,1
PM138,tet(D),0
PM1842,ARR-2,1
PM1842,QnrB1,1
PM1842,QnrB1-like,0
PM1842,QnrB66-like,0
PM1842,QnrS1,0
PM1842,aac(3)-IIa-like,0
PM1842,aac(6')-Ib-like,0
PM1842,aac(6')Ib-cr,0
PM1842,aac(6')Ib-cr-like,1
PM1842,aacA4-like,1
PM1842,aadA1,0
PM1842,aadA2,0
PM1842,aadA2-like,0
PM1842,aph(3')-VIa-like,0
PM1842,armA,0
PM1842,armA-like,0
PM1842,blaCTX-M-15,1
PM1842,blaCTX-M-15-like,0
PM1842,blaLEN12-like,0
PM1842,blaNDM-1,0
PM1842,blaNDM-7-like,0
PM1842,blaOXA-1,0
PM1842,blaOXA-232,1
PM1842,blaOXA-232-like,0
PM1842,blaOXA-9-like,0
PM1842,blaSHV-1-like,0
PM1842,blaSHV-11,1
PM1842,blaSHV-11-like,0
PM1842,blaSHV-28,0
PM1842,blaSHV-28-like,0
PM1842,blaTEM-1B,1
PM1842,catA1-like,0
PM1842,catB3-like,0
PM1842,dfrA1,0
PM1842,dfrA12,0
PM1842,dfrA14-like,0
PM1842,erm(B)-like,0
PM1842,fosA-like,1
PM1842,mph(A)-like,0
PM1842,mph(E),0
PM1842,mph(E)-like,0
PM1842,msr(E),0
PM1842,oqxA-like,0
PM1842,oqxB-like,0
PM1842,rmtf,1
PM1842,rmtf-like,0
PM1842,strA,1
PM1842,strB,1
PM1842,sul1,0
PM1842,sul1-like,0
PM1842,sul2,1
PM1842,tet(D),0
PM1995,ARR-2,1
PM1995,QnrB1,1
PM1995,QnrB1-like,0
PM1995,QnrB66-like,0
PM1995,QnrS1,0
PM1995,aac(3)-IIa-like,0
PM1995,aac(6')-Ib-like,0
PM1995,aac(6')Ib-cr,0
PM1995,aac(6')Ib-cr-like,1
PM1995,aacA4-like,1
PM1995,aadA1,0
PM1995,aadA2,0
PM1995,aadA2-like,0
PM1995,aph(3')-VIa-like,0
PM1995,armA,0
PM1995,armA-like,0
PM1995,blaCTX-M-15,1
PM1995,blaCTX-M-15-like,0
PM1995,blaLEN12-like,1
PM1995,blaNDM-1,0
PM1995,blaNDM-7-like,0
PM1995,blaOXA-1,0
PM1995,blaOXA-232,0
PM1995,blaOXA-232-like,0
PM1995,blaOXA-9-like,0
PM1995,blaSHV-1-like,0
PM1995,blaSHV-11,0
PM1995,blaSHV-11-like,0
PM1995,blaSHV-28,0
PM1995,blaSHV-28-like,0
PM1995,blaTEM-1B,1
PM1995,catA1-like,0
PM1995,catB3-like,0
PM1995,dfrA1,0
PM1995,dfrA12,0
PM1995,dfrA14-like,0
PM1995,erm(B)-like,0
PM1995,fosA-like,1
PM1995,mph(A)-like,0
PM1995,mph(E),0
PM1995,mph(E)-like,0
PM1995,msr(E),0
PM1995,oqxA-like,0
PM1995,oqxB-like,0
PM1995,rmtf,0
PM1995,rmtf-like,1
PM1995,strA,1
PM1995,strB,1
PM1995,sul1,0
PM1995,sul1-like,0
PM1995,sul2,1
PM1995,tet(D),0
PM5186,ARR-2,1
PM5186,QnrB1,0
PM5186,QnrB1-like,0
PM5186,QnrB66-like,0
PM5186,QnrS1,0
PM5186,aac(3)-IIa-like,0
PM5186,aac(6')-Ib-like,0
PM5186,aac(6')Ib-cr,0
PM5186,aac(6')Ib-cr-like,1
PM5186,aacA4-like,1
PM5186,aadA1,0
PM5186,aadA2,1
PM5186,aadA2-like,0
PM5186,aph(3')-VIa-like,0
PM5186,armA,0
PM5186,armA-like,0
PM5186,blaCTX-M-15,0
PM5186,blaCTX-M-15-like,1
PM5186,blaLEN12-like,0
PM5186,blaNDM-1,0
PM5186,blaNDM-7-like,0
PM5186,blaOXA-1,0
PM5186,blaOXA-232,0
PM5186,blaOXA-232-like,0
PM5186,blaOXA-9-like,0
PM5186,blaSHV-1-like,1
PM5186,blaSHV-11,0
PM5186,blaSHV-11-like,0
PM5186,blaSHV-28,0
PM5186,blaSHV-28-like,0
PM5186,blaTEM-1B,1
PM5186,catA1-like,1
PM5186,catB3-like,0
PM5186,dfrA1,0
PM5186,dfrA12,1
PM5186,dfrA14-like,0
PM5186,erm(B)-like,1
PM5186,fosA-like,1
PM5186,mph(A)-like,1
PM5186,mph(E),0
PM5186,mph(E)-like,0
PM5186,msr(E),0
PM5186,oqxA-like,1
PM5186,oqxB-like,1
PM5186,rmtf,0
PM5186,rmtf-like,1
PM5186,strA,0
PM5186,strB,0
PM5186,sul1,0
PM5186,sul1-like,1
PM5186,sul2,0
PM5186,tet(D),0
PM565,ARR-2,1
PM565,QnrB1,0
PM565,QnrB1-like,1
PM565,QnrB66-like,0
PM565,QnrS1,0
PM565,aac(3)-IIa-like,0
PM565,aac(6')-Ib-like,0
PM565,aac(6')Ib-cr,0
PM565,aac(6')Ib-cr-like,1
PM565,aacA4-like,1
PM565,aadA1,0
PM565,aadA2,0
PM565,aadA2-like,0
PM565,aph(3')-VIa-like,0
PM565,armA,0
PM565,armA-like,0
PM565,blaCTX-M-15,1
PM565,blaCTX-M-15-like,0
PM565,blaLEN12-like,0
PM565,blaNDM-1,0
PM565,blaNDM-7-like,0
PM565,blaOXA-1,0
PM565,blaOXA-232,1
PM565,blaOXA-232-like,0
PM565,blaOXA-9-like,0
PM565,blaSHV-1-like,0
PM565,blaSHV-11,1
PM565,blaSHV-11-like,0
PM565,blaSHV-28,0
PM565,blaSHV-28-like,0
PM565,blaTEM-1B,1
PM565,catA1-like,0
PM565,catB3-like,0
PM565,dfrA1,0
PM565,dfrA12,0
PM565,dfrA14-like,0
PM565,erm(B)-like,0
PM565,fosA-like,1
PM565,mph(A)-like,0
PM565,mph(E),0
PM565,mph(E)-like,0
PM565,msr(E),0
PM565,oqxA-like,0
PM565,oqxB-like,0
PM565,rmtf,1
PM565,rmtf-like,0
PM565,strA,1
PM565,strB,1
PM565,sul1,0
PM565,sul1-like,0
PM565,sul2,1
PM565,tet(D),0
PM716,ARR-2,0
PM716,QnrB1,0
PM716,QnrB1-like,0
PM716,QnrB66-like,0
PM716,QnrS1,1
PM716,aac(3)-IIa-like,0
PM716,aac(6')-Ib-like,0
PM716,aac(6')Ib-cr,0
PM716,aac(6')Ib-cr-like,1
PM716,aacA4-like,1
PM716,aadA1,1
PM716,aadA2,1
PM716,aadA2-like,0
PM716,aph(3')-VIa-like,1
PM716,armA,1
PM716,armA-like,0
PM716,blaCTX-M-15,1
PM716,blaCTX-M-15-like,0
PM716,blaLEN12-like,0
PM716,blaNDM-1,1
PM716,blaNDM-7-like,0
PM716,blaOXA-1,1
PM716,blaOXA-232,1
PM716,blaOXA-232-like,0
PM716,blaOXA-9-like,1
PM716,blaSHV-1-like,0
PM716,blaSHV-11,0
PM716,blaSHV-11-like,0
PM716,blaSHV-28,0
PM716,blaSHV-28-like,1
PM716,blaTEM-1B,0
PM716,catA1-like,0
PM716,catB3-like,1
PM716,dfrA1,1
PM716,dfrA12,1
PM716,dfrA14-like,0
PM716,erm(B)-like,0
PM716,fosA-like,1
PM716,mph(A)-like,0
PM716,mph(E),0
PM716,mph(E)-like,1
PM716,msr(E),1
PM716,oqxA-like,1
PM716,oqxB-like,1
PM716,rmtf,0
PM716,rmtf-like,0
PM716,strA,0
PM716,strB,0
PM716,sul1,1
PM716,sul1-like,0
PM716,sul2,0
PM716,tet(D),0